status,nces_unitid,school_id,school_name,details
failed,220516,1,King University,Failed to fetch College Scorecard record for UNITID=220516: HTTP Error 429: Too Many Requests
failed,232557,2,Liberty University,Failed to fetch College Scorecard record for UNITID=232557: HTTP Error 429: Too Many Requests
failed,18409201,3,American University,Failed to fetch College Scorecard record for UNITID=18409201: HTTP Error 429: Too Many Requests
failed,197869,4,Appalachian State University,Failed to fetch College Scorecard record for UNITID=197869: HTTP Error 429: Too Many Requests
failed,231624,5,College of William and Mary,Failed to fetch College Scorecard record for UNITID=231624: HTTP Error 429: Too Many Requests
failed,198419,6,Duke University,Failed to fetch College Scorecard record for UNITID=198419: HTTP Error 429: Too Many Requests
failed,232186,7,George Mason University,Failed to fetch College Scorecard record for UNITID=232186: HTTP Error 429: Too Many Requests
failed,156745,8,Georgetown University,Failed to fetch College Scorecard record for UNITID=156745: HTTP Error 429: Too Many Requests
failed,232423,9,James Madison University,Failed to fetch College Scorecard record for UNITID=232423: HTTP Error 429: Too Many Requests
failed,162928,10,Johns Hopkins University,Failed to fetch College Scorecard record for UNITID=162928: HTTP Error 429: Too Many Requests
