school_name,contact_email,conference,source,status,notes,last_verified_on
California Polytechnic- Humboldt,bike@humboldt.edu,Western,User provided seed list,seeded,,
California Polytechnic- San luis Obispo,cpcycling.president@gmail.com,Western,User provided seed list,seeded,,
California State University-Chico,chicostatecycling@gmail.com,Western,User provided seed list,seeded,,
California State University-Sacramento,keelanalton@csus.edu,Western,User provided seed list,seeded,,
San Diego State University,azteccycling@gmail.com,Western,User provided seed list,seeded,,
San Jose State University,cycling@sjsustudents.com,Western,User provided seed list,seeded,,
Stanford University,gtwehner@stanford.edu,Western,User provided seed list,seeded,,
University of California-Davis,cyclingclub@ucdavis.edu,Western,User provided seed list,seeded,,
University of California-Irvine,mettler1@msn.com,Western,User provided seed list,seeded,,
University of California-Los Angeles,uclacylcing@gmail.com,Western,User provided seed list,seeded,,
University of California-San Diego,wdiego@ucsd.edu,Western,User provided seed list,seeded,,
University of California-Santa Barbara,ucsbcycling.president@gmail.com,Western,User provided seed list,seeded,,
University of California-Santa Cruz,ucsccycling@gmail.com,Western,User provided seed list,seeded,,
University of Nevada-Reno,qlucassd3@gmail.com,Western,User provided seed list,seeded,,
University of California-Berkeley,contact@cycling.berkeley.edu,Western,User provided seed list,seeded,,
University of Southern California,info@usccycling.com,Western,User provided seed list,seeded,,
California State University-Channel Islands,ingrid.corleto101@csuci.edu,Western,User provided seed list,seeded,,
California State University-Fresno,eddominguez@mail.fresnostate.edu,Western,User provided seed list,seeded,,
California State University-Fullerton,cestrella-ramirez@fullerton.edu,Western,User provided seed list,seeded,,
California State University-Long Beach,clubsports@csulb.edu,Western,User provided seed list,seeded,,
Claremont University Consortium,dominiqic.williams@pomona.edu,Western,User provided seed list,seeded,,
Loyola Marymount University,lmuclubsports@lmu.edu,Western,User provided seed list,seeded,,
Saint Marys College-California,np9@stmarys-ca.edu,Western,User provided seed list,seeded,,
San Francisco State University,sprtclub@mail.sfsu.edu,Western,User provided seed list,seeded,,
Santa Barbara City College,collinsa@sbcc.edu,Western,User provided seed list,seeded,,
Santa Clara University,clubsports@scu.edu,Western,User provided seed list,seeded,,
University of California-Merced,jgarcia715@ucmerced.edu,Western,User provided seed list,seeded,,
