school_name,contact_email,school_id,match_status,cycling_program_status,road,mtb,cyclocross,track,discipline_source_url,contact_verified,last_contact_check_on,research_status,research_notes
California Polytechnic- Humboldt,bike@humboldt.edu,,pending,,,,,,,pending,,queued,
California Polytechnic- San luis Obispo,cpcycling.president@gmail.com,,pending,,,,,,,pending,,queued,
California State University-Chico,chicostatecycling@gmail.com,,pending,,,,,,,pending,,queued,
California State University-Sacramento,keelanalton@csus.edu,,pending,,,,,,,pending,,queued,
San Diego State University,azteccycling@gmail.com,,pending,,,,,,,pending,,queued,
San Jose State University,cycling@sjsustudents.com,,pending,,,,,,,pending,,queued,
Stanford University,gtwehner@stanford.edu,,pending,,,,,,,pending,,queued,
University of California-Davis,cyclingclub@ucdavis.edu,,pending,,,,,,,pending,,queued,
University of California-Irvine,mettler1@msn.com,,pending,,,,,,,pending,,queued,
University of California-Los Angeles,uclacylcing@gmail.com,,pending,,,,,,,pending,,queued,
University of California-San Diego,wdiego@ucsd.edu,,pending,,,,,,,pending,,queued,
University of California-Santa Barbara,ucsbcycling.president@gmail.com,,pending,,,,,,,pending,,queued,
University of California-Santa Cruz,ucsccycling@gmail.com,,pending,,,,,,,pending,,queued,
University of Nevada-Reno,qlucassd3@gmail.com,,pending,,,,,,,pending,,queued,
University of California-Berkeley,contact@cycling.berkeley.edu,,pending,,,,,,,pending,,queued,
University of Southern California,info@usccycling.com,,pending,,,,,,,pending,,queued,
California State University-Channel Islands,ingrid.corleto101@csuci.edu,,pending,,,,,,,pending,,queued,
California State University-Fresno,eddominguez@mail.fresnostate.edu,,pending,,,,,,,pending,,queued,
California State University-Fullerton,cestrella-ramirez@fullerton.edu,,pending,,,,,,,pending,,queued,
California State University-Long Beach,clubsports@csulb.edu,,pending,,,,,,,pending,,queued,
Claremont University Consortium,dominiqic.williams@pomona.edu,,pending,,,,,,,pending,,queued,
Loyola Marymount University,lmuclubsports@lmu.edu,,pending,,,,,,,pending,,queued,
Saint Marys College-California,np9@stmarys-ca.edu,,pending,,,,,,,pending,,queued,
San Francisco State University,sprtclub@mail.sfsu.edu,,pending,,,,,,,pending,,queued,
Santa Barbara City College,collinsa@sbcc.edu,,pending,,,,,,,pending,,queued,
Santa Clara University,clubsports@scu.edu,,pending,,,,,,,pending,,queued,
University of California-Merced,jgarcia715@ucmerced.edu,,pending,,,,,,,pending,,queued,
