school_name,contact_email,match_status,match_score,scorecard_id,nces_name,state,city,zip_code,school_website,institution_control,institution_level,locale,enrollment,acceptance_rate,graduation_rate,avg_cost,source_url,notes,geocode_status,geocode_confidence,geocode_needs_review,geocode_query,geocode_source,geocode_source_url,latitude,longitude,geocode_raw,address_complete,geocode_notes
California Polytechnic- Humboldt,bike@humboldt.edu,matched,0.98,115755,California State Polytechnic University-Humboldt,CA,Arcata,95521,www.humboldt.edu/,public,four_year,Town: Remote,"5,491",98.8%,46.6%,"13,167",https://api.data.gov/ed/collegescorecard/v1/schools?id=115755,,review,0.73,true,"California State Polytechnic University-Humboldt, Arcata, CA 95521-8299, USA",nominatim,https://www.openstreetmap.org/w/99446807,40.8755745,-124.0780440,"40.8755745, -124.0780440","California State Polytechnic University, Humboldt, 1, Harpst Street, Arcata, Humboldt County, California, 95521, United States",Coordinates generated from Nominatim
California Polytechnic- San luis Obispo,cpcycling.president@gmail.com,matched,1.00,110422,California Polytechnic State University-San Luis Obispo,CA,San Luis Obispo,93407,calpoly.edu/,public,four_year,Suburb: Small,"21,521",29.8%,85.2%,"15,624",https://api.data.gov/ed/collegescorecard/v1/schools?id=110422,,review,0.75,true,"California Polytechnic State University-San Luis Obispo, San Luis Obispo, CA 93407, USA",nominatim,https://www.openstreetmap.org/w/290467779,35.3074623,-120.6646483,"35.3074623, -120.6646483","California Polytechnic State University, 1, Grand Avenue, San Luis Obispo, San Luis Obispo County, California, 93407, United States",Coordinates generated from Nominatim
California State University-Chico,chicostatecycling@gmail.com,matched,1.00,110538,California State University-Chico,CA,Chico,95929,www.csuchico.edu/,public,four_year,City: Midsize,"13,057",93.7%,63.6%,"14,838",https://api.data.gov/ed/collegescorecard/v1/schools?id=110538,,review,0.74,true,"California State University-Chico, Chico, CA 95929-0150, USA",nominatim,https://www.openstreetmap.org/w/28551484,39.7295014,-121.8481099,"39.7295014, -121.8481099","California State University, Chico, 400, West 1st Street, Chico, Butte County, California, 95929, United States",Coordinates generated from Nominatim
California State University-Sacramento,keelanalton@csus.edu,matched,1.00,110617,California State University-Sacramento,CA,Sacramento,95819,https://www.csus.edu/,public,four_year,City: Large,"27,867",93.6%,55.8%,"10,512",https://api.data.gov/ed/collegescorecard/v1/schools?id=110617,,review,0.60,true,"California State University-Sacramento, Sacramento, CA 95819-2694, USA",nominatim,https://www.openstreetmap.org/w/468831136,38.5599044,-121.4240819,"38.5599044, -121.4240819","California State University - Sacramento, 6000, J Street, Sacramento, California, 95819, United States",Coordinates generated from Nominatim
San Diego State University,azteccycling@gmail.com,matched,1.00,122409,San Diego State University,CA,San Diego,92182,https://www.sdsu.edu/,public,four_year,City: Large,"33,654",34.4%,78.3%,"16,174",https://api.data.gov/ed/collegescorecard/v1/schools?id=122409,,geocoded,0.97,false,"San Diego State University, San Diego, CA 92182-0001, USA",nominatim,https://www.openstreetmap.org/r/11062617,32.7761529,-117.0733037,"32.7761529, -117.0733037","San Diego State University, 1, Campanile Mall, Montezuma Mesa, Del Cerro, San Diego, San Diego County, California, 92182, United States",Coordinates generated from Nominatim
San Jose State University,cycling@sjsustudents.com,matched,1.00,122755,San Jose State University,CA,San Jose,95192,www.sjsu.edu/,public,four_year,City: Large,"26,757",80.2%,64.6%,"13,741",https://api.data.gov/ed/collegescorecard/v1/schools?id=122755,,review,0.60,true,"San Jose State University, San Jose, CA 95192-0186, USA",nominatim,https://www.openstreetmap.org/w/25775883,37.3351903,-121.8812250,"37.3351903, -121.8812250","San José State University Main Campus, 1, South 10th Street, Naglee Park, Japantown, San Jose, Santa Clara County, California, 95192, United States",Coordinates generated from Nominatim
Stanford University,gtwehner@stanford.edu,matched,1.00,243744,Stanford University,CA,Rains Houses,94305,www.stanford.edu/,private_nonprofit,four_year,Suburb: Large,"7,841",3.9%,92.8%,"12,136",https://api.data.gov/ed/collegescorecard/v1/schools?id=243744,,geocoded,0.97,false,"Stanford University, Stanford, CA 94305, USA",nominatim,https://www.openstreetmap.org/w/29268613,37.4313138,-122.1693654,"37.4313138, -122.1693654","Stanford University, 450, Jane Stanford Way, Rains Houses, Santa Clara County, California, 94305, United States",Coordinates generated from Nominatim
University of California-Davis,cyclingclub@ucdavis.edu,matched,1.00,110644,University of California-Davis,CA,Davis,95616,ucdavis.edu/,public,four_year,Suburb: Small,"31,777",41.6%,85.1%,"15,288",https://api.data.gov/ed/collegescorecard/v1/schools?id=110644,,geocoded,0.78,false,"University of California-Davis, Davis, CA 95616-8678, USA",nominatim,https://www.openstreetmap.org/r/5267472,38.5337904,-121.7907544,"38.5337904, -121.7907544","University of California, Davis, 1, Dwight D. Eisenhower Highway, Davis, Yolo County, California, 95616, United States",Coordinates generated from Nominatim
University of California-Irvine,mettler1@msn.com,matched,1.00,110653,University of California-Irvine,CA,Irvine,92616,www.uci.edu/,public,four_year,City: Large,"29,494",25.6%,86.0%,"12,840",https://api.data.gov/ed/collegescorecard/v1/schools?id=110653,,geocoded,0.77,false,"University of California-Irvine, Irvine, CA 92697, USA",nominatim,https://www.openstreetmap.org/w/35154092,33.6429469,-117.8401606,"33.6429469, -117.8401606","University of California, Irvine, Tabor Drive, Turtlerock Broadmoor, Turtle Rock, Irvine, Orange County, California, 92616, United States",Coordinates generated from Nominatim
University of California-Los Angeles,uclacylcing@gmail.com,matched,1.00,110662,University of California-Los Angeles,CA,Veterans Administration,90073,www.ucla.edu/,public,four_year,City: Large,"33,040",8.7%,92.7%,"14,013",https://api.data.gov/ed/collegescorecard/v1/schools?id=110662,,geocoded,0.76,false,"University of California-Los Angeles, Los Angeles, CA 90095-1405, USA",nominatim,https://www.openstreetmap.org/r/7493269,34.0708777,-118.4468503,"34.0708777, -118.4468503","University of California, Los Angeles, Appomattox Drive, Veterans Administration, Los Angeles County, California, 90073, United States",Coordinates generated from Nominatim
