status,school_id,school_name,details
updated,136,Bard College,"cyclocross,mtb,road"
updated,137,Bates College,"cyclocross,mtb,road"
updated,258,Boston College,"cycling_program_status,mtb"
updated,259,Boston University,"cycling_program_status,road"
updated,140,Bowdoin College,"cycling_program_status,mtb,road"
skipped,141,Brandeis University,
updated,142,Brown University,"cycling_program_status,cyclocross,mtb,mtb_xc,road,track"
updated,143,Bucknell University,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
updated,144,Carnegie Mellon University,"cyclocross,mtb,road"
updated,145,Castleton University,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
skipped,146,Clarkson University,
updated,147,Colby College,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
updated,262,Columbia University-NYC,"cycling_program_status,mtb,mtb_xc,track"
updated,149,Cornell University,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
updated,150,Dartmouth College,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
updated,151,Drexel University,"cyclocross,mtb,road"
skipped,152,Hamilton College,
updated,153,Harvard University,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
updated,154,IIndiana University of Pennsylvania,"cyclocross,mtb,road"
updated,155,Juniata College,"cyclocross,mtb,road"
updated,156,Lafayette College,"cycling_program_status,mtb,mtb_xc"
skipped,157,Lehigh University,
updated,158,Marlboro College (Closed in 2020),"cycling_program_status,cyclocross,mtb,road"
updated,159,Marywood University,"cyclocross,mtb,road"
updated,160,Massachusetts College of Liberal Arts,"cyclocross,mtb"
updated,161,Massachusetts Institute of Technology,"cycling_program_status,cyclocross,mtb,mtb_xc"
skipped,162,Middlebury College,
updated,163,New York University,"cyclocross,mtb,road"
updated,164,Northeastern University,"cycling_program_status,cyclocross,mtb,mtb_downhill,mtb_slalom,mtb_st,mtb_xc,road"
updated,165,Penn State Behrend,"cyclocross,mtb,road"
skipped,167,Penn State Main Campus,
updated,166,Penn State-Lehigh Valley,"cyclocross,mtb,road"
updated,168,Plymouth State University,"cyclocross,mtb,road"
updated,169,Princeton University,"cycling_program_status,cyclocross,mtb,road"
updated,170,Rensselaer Polytechnic Institute,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
updated,171,Rhode Island School of Design,"cyclocross,mtb,road"
skipped,172,Rochester Institute of Technology PROD,
updated,173,Rutgers University-New Brunswick,"cyclocross,mtb,road"
updated,174,Saint Lawrence University,"cyclocross,mtb,road"
updated,175,Saint Michaels College,"cyclocross,mtb,road"
skipped,176,Shippensburg University of Pennsylvania,
updated,177,Smith College,"cyclocross,mtb,road"
updated,178,Suny Maritime College,"cyclocross,mtb,road"
updated,179,Swarthmore College,"cyclocross,mtb,road"
updated,180,Syracuse University,"cyclocross,mtb,road"
updated,181,Temple University,"cycling_program_status,mtb,mtb_xc,road,track"
updated,182,Tufts University,"cycling_program_status,mtb,mtb_xc,road"
updated,183,Union College-NY,"cyclocross,mtb,road"
updated,184,United States Coast Guard Academy,"cyclocross,mtb,road"
updated,185,University of Connecticut,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
updated,186,University of Delaware,"cyclocross,mtb,road"
skipped,187,University of Maine-Orono,
updated,188,University of Massachusetts Amherst,"cyclocross,mtb"
skipped,189,University of New Hampshire,
updated,190,University of Pennsylvania,"cyclocross,mtb,road"
updated,191,University of Pittsburgh,"cycling_program_status,cyclocross,mtb,mtb_xc"
updated,192,University of Rhode Island,"cyclocross,mtb,road"
updated,193,University of Rochester,"cyclocross,mtb,road"
updated,194,University of Vermont,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
updated,195,US Military Academy,"cyclocross,mtb,road"
updated,196,Vermont Technical College,"cyclocross,mtb,road"
updated,197,Williams College,"cycling_program_status,cyclocross,road"
updated,198,Worcester Polytechnic Institute,"cyclocross,mtb,road"
updated,199,Yale University,"cycling_program_status,cyclocross,mtb,mtb_xc,road"
