status,score,method,nces_unitid,nces_name,school_id,school_name
unmatched,0.000,none,100654,Alabama A & M University,,
unmatched,0.000,none,100663,University of Alabama at Birmingham,,
unmatched,0.000,none,100690,Amridge University,,
unmatched,0.000,none,100706,University of Alabama in Huntsville,,
unmatched,0.000,none,100724,Alabama State University,,
unmatched,0.000,none,100733,University of Alabama System Office,,
unmatched,0.000,none,100751,The University of Alabama,,
unmatched,0.000,none,100760,Central Alabama Community College,,
unmatched,0.000,none,100812,Athens State University,,
unmatched,0.000,none,100830,Auburn University at Montgomery,,
updated,0.900,exact_name,100858,Auburn University,64,Auburn University
unmatched,0.000,none,100937,Birmingham-Southern College,,
unmatched,0.000,none,101028,Chattahoochee Valley Community College,,
unmatched,0.000,none,101116,South University-Montgomery,,
unmatched,0.000,none,101143,Enterprise State Community College,,
unmatched,0.000,none,101161,Coastal Alabama Community College,,
unmatched,0.000,none,101189,Faulkner University,,
unmatched,0.000,none,101240,Gadsden State Community College,,
unmatched,0.000,none,101277,New Beginning College of Cosmetology,,
unmatched,0.000,none,101286,George C Wallace Community College-Dothan,,
unmatched,0.000,none,101295,George C Wallace State Community College-Hanceville,,
unmatched,0.000,none,101301,George C Wallace State Community College-Selma,,
unmatched,0.000,none,101365,Herzing University-Birmingham,,
unmatched,0.000,none,101435,Huntingdon College,,
unmatched,0.000,none,101453,Heritage Christian University,,
unmatched,0.000,none,101462,J. F. Drake State Community and Technical College,,
unmatched,0.000,none,101471,J F Ingram State Technical College,,
unmatched,0.000,none,101480,Jacksonville State University,,
unmatched,0.000,none,101505,Jefferson State Community College,,
unmatched,0.000,none,101514,John C Calhoun State Community College,,
unmatched,0.000,none,101569,Lawson State Community College,,
unmatched,0.000,none,101587,University of West Alabama,,
unmatched,0.000,none,101602,Lurleen B Wallace Community College,,
unmatched,0.000,none,101648,Marion Military Institute,,
unmatched,0.000,none,101675,Miles College,,
unmatched,0.000,none,101693,University of Mobile,,
updated,0.900,exact_name,101709,University of Montevallo,62,University of Montevallo
unmatched,0.000,none,101736,Northwest-Shoals Community College,,
unmatched,0.000,none,101879,University of North Alabama,,
unmatched,0.000,none,101897,Northeast Alabama Community College,,
unmatched,0.000,none,101912,Oakwood University,,
unmatched,0.000,none,101994,Reid State Technical College,,
unmatched,0.000,none,102030,Bishop State Community College,,
unmatched,0.000,none,102049,Samford University,,
unmatched,0.000,none,102058,Selma University,,
unmatched,0.000,none,102067,Shelton State Community College,,
unmatched,0.000,none,102076,Snead State Community College,,
unmatched,0.000,none,102094,University of South Alabama,,
unmatched,0.000,none,102234,Spring Hill College,,
unmatched,0.000,none,102270,Stillman College,,
unmatched,0.000,none,102298,Talladega College,,
unmatched,0.000,none,102313,H Councill Trenholm State Community College,,
unmatched,0.000,none,102368,Troy University,,
unmatched,0.000,none,10236801,Troy University-Phenix City Campus,,
unmatched,0.000,none,10236802,Troy University-Montgomery Campus,,
unmatched,0.000,none,10236803,Troy University-Dothan Campus,,
unmatched,0.000,none,10236808,Troy University-Online,,
unmatched,0.000,none,10236809,Troy University-Support Sites,,
unmatched,0.000,none,102377,Tuskegee University,,
