status,score,method,nces_unitid,nces_name,school_id,school_name
unmatched,0.552,fuzzy,100654,Alabama A & M University,,
unmatched,0.500,fuzzy,100663,University of Alabama at Birmingham,,
unmatched,0.545,ambiguous,100690,Amridge University,,
updated,0.923,fuzzy,100706,University of Alabama in Huntsville,87,University of Alabama-Huntsville
unmatched,0.560,ambiguous,100724,Alabama State University,,
unmatched,0.513,fuzzy,100733,University of Alabama System Office,,
unmatched,0.560,ambiguous,100751,The University of Alabama,,
unmatched,0.600,fuzzy,100760,Central Alabama Community College,,
unmatched,0.727,fuzzy,100812,Athens State University,,
unmatched,0.741,fuzzy,100830,Auburn University at Montgomery,,
updated,0.900,exact_name,100858,Auburn University,64,Auburn University
unmatched,0.629,fuzzy,100937,Birmingham-Southern College,,
unmatched,0.645,fuzzy,101028,Chattahoochee Valley Community College,,
unmatched,0.769,fuzzy,101116,South University-Montgomery,,
unmatched,0.526,ambiguous,101143,Enterprise State Community College,,
unmatched,0.452,ambiguous,101161,Coastal Alabama Community College,,
unmatched,0.571,fuzzy,101189,Faulkner University,,
unmatched,0.500,ambiguous,101240,Gadsden State Community College,,
unmatched,0.457,ambiguous,101277,New Beginning College of Cosmetology,,
unmatched,0.571,fuzzy,101286,George C Wallace Community College-Dothan,,
unmatched,0.489,ambiguous,101295,George C Wallace State Community College-Hanceville,,
unmatched,0.529,fuzzy,101301,George C Wallace State Community College-Selma,,
unmatched,0.457,ambiguous,101365,Herzing University-Birmingham,,
unmatched,0.600,fuzzy,101435,Huntingdon College,,
unmatched,0.686,ambiguous,101453,Heritage Christian University,,
unmatched,0.629,ambiguous,101462,J. F. Drake State Community and Technical College,,
unmatched,0.611,ambiguous,101471,J F Ingram State Technical College,,
unmatched,0.545,ambiguous,101480,Jacksonville State University,,
unmatched,0.500,ambiguous,101505,Jefferson State Community College,,
unmatched,0.593,fuzzy,101514,John C Calhoun State Community College,,
unmatched,0.714,fuzzy,101569,Lawson State Community College,,
unmatched,0.571,fuzzy,101587,University of West Alabama,,
unmatched,0.480,fuzzy,101602,Lurleen B Wallace Community College,,
unmatched,0.545,ambiguous,101648,Marion Military Institute,,
unmatched,0.545,ambiguous,101675,Miles College,,
unmatched,0.545,fuzzy,101693,University of Mobile,,
updated,0.900,exact_name,101709,University of Montevallo,62,University of Montevallo
unmatched,0.643,fuzzy,101736,Northwest-Shoals Community College,,
