school_id,school_name,team_type,conference,city,state,zip_code,street_address,school_website,athletic_dept_website,cycling_website,contact_email,head_coach,current_nces_unitid
14,Oklahoma State University,Club,Atlantic,,,,,,,,osucyclingclub@gmail.com,,
21,US Naval Academy,Club,Atlantic,,,,,,,,nopolltoll@gmail.com,,
31,Colorado College,Club,Rocky Mountain,,,,,,,,cstarr@coloradocollege.edu,,
39,University of Colorado Denver,Club,Rocky Mountain,,,,,,,,brett.lagerblade@ucdenver.edu,,
43,US Air Force Academy,Club,Rocky Mountain,,,,,,,,geffrey.moy@usafa.edu,,
44,Arizona State University,Club,Southwest,,,,,,,,ckhashim@asu.edu,,
46,Institute of American Indian Arts,Club,Southwest,,,,,,,,pmoore@iaia.edu,,
48,New Mexico State University,Club,Southwest,,,,,,,,ziaboulder@gmail.com,,
52,University of Arizona,Club,Southwest,,,,,,,,uacyclingclub@gmail.com,,
53,University of New Mexico,Club,Southwest,,,,,,,,tnelson27@unm.edu,,
59,Savannah College of Art and Design - Atlanta,Varsity,Southeast,,,,,,,,tpic@scad.edu,,
60,Savannah College of Art and Design - Savannah,Varsity,Southeast,,,,,,,,ahoover@scad.edu,,
71,Florida State University,Club,Southeast,,,,,,,,cobando@fsu.edu,,
73,Gamecock Cycling - USC,Club,Southeast,,,,,,,,furlough@email.sc.edu,,
75,Georgia Institute of Technology,Club,Southeast,,,,,,,,gatechcycling@gmail.com,,
77,Georgia State University,Club,Southeast,,,,,,,,zschneider1@gsu.edu,,
81,Sewanee-The University of the South,Club,Southeast,,,,,,,,jbenson@sewanee.edu,,
86,Union College-KY,Club,Southeast,,,,,,,,strinque@unionky.edu,,
89,University of Florida,Club,Southeast,,,,,,,,jbroska@ufsa.ufl.edu,,
90,University of Georgia,Club,Southeast,,,,,,,,clubcyclingatUGA@gmail.com,,
114,Ohio State University,Club,Midwest,,,,,,,,plourde.5@osu.edu,,
115,Purdue University,Club,Midwest,West Lafayette,IN,47907,,,,,duffy23@purdue.edu,,
122,University of Cincinnati,Club,Midwest,,,,,,,,altizehj@mail.uc.edu,,
138,Boston College,Club,Eastern,,,,,,,,charnowe@bc.edu,,
139,Boston University,Club,Eastern,,,,,,,,bike@bu.edu,,
148,Columbia University-NYC,Club,Eastern,,,,,,,,bj2149@columbia.edu,,
154,IIndiana University of Pennsylvania,Club,Eastern,,,,,,,,christopherpeltzer37@gmail.com,,
158,Marlboro College,Club,Eastern,,,,,,,,katrick@marlboro.edu,,
165,Penn State Behrend,Club,Eastern,,,,,,,,,,
166,Penn State-Lehigh Valley,Club,Eastern,,,,,,,,mqm5336@psu.edu,,
167,Pennsylvania State University,Club,Eastern,,,,,,,,nlr5191@psu.edu,,
174,Saint Lawrence University,Club,Eastern,,,,,,,,lieslmagnus@gmail.com,,
183,Union College-NY,Club,Eastern,,,,,,,,cliftonf@union.edu,,
187,University of Maine-Orono,Club,Eastern,,,,,,,,dale.russell@maine.edu,,
189,University of New Hampshire,Club,Eastern,,,,,,,,aaron.croce@unh.edu,,
190,University of Pennsylvania,Club,Eastern,,,,,,,,cycling.upenn@gmail.com,,
195,US Military Academy,Club,Eastern,,,,,,,,richard.gash@westpoint.edu,,
203,Utah State University,Club,Inter Mountain,,,,,,,,bailey.daniel.adams@usu.edu,,
207,Iowa State University,Club,North Central,,,,,,,,isucc@iastate.edu,,
208,Minnesota State College Southeast - Red Wing,Club,North Central,,,,,,,,gbeckwith@southeastmn.edu,,
209,University of Iowa,Club,North Central,,,,,,,,matthew-schaefer-1@uiowa.edu,,
215,Blue Mt. Community College,Club,Northwest,,,,,,,,ashick@bluecc.edu,,
219,Idaho State University,Club,Northwest,,,,,,,,,,
221,Montana State University,Club,Northwest,,,,,,,,msucycling@gmail.com,,
222,Oregon State University,Club,Northwest,,,,,,,,cycling@oregonstate.edu,,
225,The University of Montana,Club,Northwest,,,,,,,,cycling.um@gmail.com,,
226,University of British Columbia,Club,Northwest,,,,,,,,cycling.sc@ubc.ca,,
227,University of Idaho,Club,Northwest,,,,,,,,mmorra@uidaho.edu,,
228,University of Oregon,Club,Northwest,,,,,,,,shawnm@uoregon.edu,,
238,Louisiana State University,Club,South Central,,,,,,,,lsucyclingclub@gmail.com,,
243,Texas A & M University,Club,South Central,,,,,,,,tamucycling@gmail.com,,
244,Texas State University-San Marcos,Club,South Central,,,,,,,,TexasStateCycling@gmail.com,,
251,University of Oklahoma,Club,South Central,,,,,,,,oucycling@gmail.com,,
