status,nces_unitid,school_id,school_name,details
updated,220516,1,King University,"enrollment,acceptance_rate,graduation_rate"
updated,232557,2,Liberty University,"enrollment,acceptance_rate,graduation_rate"
skipped,18409201,3,American University,
updated,197869,4,Appalachian State University,"enrollment,acceptance_rate,graduation_rate"
updated,231624,5,College of William and Mary,"enrollment,acceptance_rate,graduation_rate"
updated,198419,6,Duke University,"enrollment,acceptance_rate,graduation_rate"
updated,232186,7,George Mason University,"enrollment,acceptance_rate,graduation_rate"
updated,156745,8,Georgetown University,"enrollment,acceptance_rate,graduation_rate"
updated,232423,9,James Madison University,"enrollment,acceptance_rate,graduation_rate"
updated,162928,10,Johns Hopkins University,"enrollment,acceptance_rate,graduation_rate"
updated,199023,11,Montgomery College,enrollment
updated,163462,12,Mount St. Mary's University,"enrollment,acceptance_rate,graduation_rate"
updated,199193,13,North Carolina State University at Raleigh,"enrollment,acceptance_rate,graduation_rate"
updated,207388,14,Oklahoma State University,"enrollment,acceptance_rate,graduation_rate"
updated,233426,15,Roanoke College,"enrollment,acceptance_rate,graduation_rate"
updated,199582,16,Saint Augustines University,"enrollment,acceptance_rate,graduation_rate"
updated,434672,17,University of Maryland-Baltimore County,enrollment
updated,163295,18,University of Maryland-College Park,"enrollment,acceptance_rate,graduation_rate"
updated,199120,19,University of North Carolina at Chapel Hill,"enrollment,acceptance_rate,graduation_rate"
updated,234155,20,University of Virginia,"enrollment,acceptance_rate,graduation_rate"
updated,164155,21,US Naval Academy,"enrollment,acceptance_rate,graduation_rate"
updated,234030,22,Virginia Commonwealth University,"enrollment,acceptance_rate,graduation_rate"
updated,233921,23,Virginia Polytechnic University,"enrollment,acceptance_rate,graduation_rate"
updated,199847,24,Wake Forest University,"enrollment,acceptance_rate,graduation_rate"
updated,238032,25,West Virginia University,"enrollment,acceptance_rate,graduation_rate"
updated,443632,26,Colorado Mesa University,enrollment
updated,127185,27,Fort Lewis College,"enrollment,acceptance_rate,graduation_rate"
updated,128391,28,Western Colorado University,"enrollment,acceptance_rate,graduation_rate"
updated,126182,29,Adams State University,"enrollment,graduation_rate"
updated,126669,30,Colorado Christian University,"enrollment,graduation_rate"
updated,126678,31,Colorado College,"enrollment,acceptance_rate,graduation_rate"
updated,126711,32,Colorado Mountain College,"enrollment,graduation_rate"
updated,126775,33,Colorado School of Mines,"enrollment,acceptance_rate,graduation_rate"
updated,127820,35,Pikes Peak Community College,"enrollment,graduation_rate"
updated,167598,36,Regis University,"enrollment,acceptance_rate,graduation_rate"
updated,126614,37,University of Colorado Boulder,"enrollment,acceptance_rate,graduation_rate"
updated,126827,38,University of Colorado Colorado Springs,"enrollment,graduation_rate"
updated,126562,39,University of Colorado Denver,"enrollment,acceptance_rate,graduation_rate"
updated,127060,40,University of Denver,"enrollment,acceptance_rate,graduation_rate"
updated,127741,41,University of Northern Colorado,"enrollment,acceptance_rate,graduation_rate"
updated,240727,42,University of Wyoming,"enrollment,acceptance_rate,graduation_rate"
updated,128328,43,US Air Force Academy,"enrollment,acceptance_rate,graduation_rate"
updated,104586,45,Embry Riddle Aeronautical University-Prescott,"enrollment,acceptance_rate,graduation_rate"
updated,187745,46,Institute of American Indian Arts,"enrollment,acceptance_rate,graduation_rate"
updated,187596,47,Navajo Technical University,"enrollment,graduation_rate"
updated,188030,48,New Mexico State University,"enrollment,acceptance_rate,graduation_rate"
updated,105330,49,Northern Arizona University,"enrollment,acceptance_rate,graduation_rate"
unmatched,105367,50,Ottawa University-Phoenix,
updated,105589,51,Prescott College,"enrollment,acceptance_rate,graduation_rate"
updated,104179,52,University of Arizona,"enrollment,acceptance_rate,graduation_rate"
updated,187985,53,University of New Mexico,"enrollment,acceptance_rate,graduation_rate"
updated,197984,54,Belmont Abbey College,"enrollment,acceptance_rate,graduation_rate"
updated,198066,55,Brevard College,"enrollment,acceptance_rate,graduation_rate"
updated,198808,56,Lees-McRae College,"enrollment,acceptance_rate,graduation_rate"
updated,486901,57,Milligan University,"enrollment,acceptance_rate,graduation_rate"
updated,199324,58,Piedmont University,enrollment
updated,140951,60,Savannah College of Art and Design - Savannah,"enrollment,acceptance_rate,graduation_rate"
updated,141237,61,Truett McConnell University,"enrollment,acceptance_rate,graduation_rate"
updated,101709,62,University of Montevallo,"enrollment,acceptance_rate,graduation_rate"
updated,199865,63,Warren Wilson College,"enrollment,acceptance_rate,graduation_rate"
updated,100858,64,Auburn University,"enrollment,acceptance_rate,graduation_rate"
updated,175421,65,Belhaven University,"enrollment,acceptance_rate,graduation_rate"
updated,217882,66,Clemson University,"enrollment,acceptance_rate,graduation_rate"
updated,217891,67,Clinton College,"enrollment,graduation_rate"
updated,221485,68,East Tennessee State University,enrollment
updated,133553,69,Embry Riddle Aeronautical University-Daytona Beach,"enrollment,acceptance_rate,graduation_rate"
updated,139658,70,Emory University,"enrollment,acceptance_rate,graduation_rate"
updated,134097,71,Florida State University,"enrollment,acceptance_rate,graduation_rate"
updated,218070,72,Furman University,"enrollment,acceptance_rate,graduation_rate"
updated,218663,73,Gamecock Cycling - USC,"enrollment,acceptance_rate,graduation_rate"
updated,139700,74,Georgia Highlands College,"enrollment,graduation_rate"
updated,139755,75,Georgia Institute of Technology,"enrollment,acceptance_rate,graduation_rate"
updated,139931,76,Georgia Southern University,"enrollment,acceptance_rate,graduation_rate"
updated,139940,77,Georgia State University,"enrollment,acceptance_rate,graduation_rate"
updated,486840,78,Kennesaw State University,"enrollment,acceptance_rate,graduation_rate"
updated,157216,79,Lindsey Wilson College,"enrollment,graduation_rate"
updated,198899,80,Mars Hill University,"enrollment,acceptance_rate,graduation_rate"
updated,221519,81,Sewanee-The University of the South,"enrollment,acceptance_rate,graduation_rate"
updated,137546,82,Stetson University,"enrollment,acceptance_rate,graduation_rate"
updated,221838,83,The University of Tennessee,"enrollment,acceptance_rate,graduation_rate"
updated,221740,84,The University of Tennessee at Chattanooga,"enrollment,acceptance_rate,graduation_rate"
updated,160755,85,Tulane University of Louisiana,"enrollment,acceptance_rate,graduation_rate"
updated,157863,86,Union College-KY,"enrollment,acceptance_rate,graduation_rate"
updated,100706,87,University of Alabama-Huntsville,"enrollment,acceptance_rate,graduation_rate"
updated,132903,88,University of Central Florida,"enrollment,acceptance_rate,graduation_rate"
