status,school_id,school_name,details
updated,264,California Polytechnic- Humboldt,"cyclocross,mtb,road,track"
updated,265,California Polytechnic- San luis Obispo,"cyclocross,mtb,road,track"
updated,280,California State University-Channel Islands,"cyclocross,mtb,road,track"
updated,266,California State University-Chico,"cyclocross,mtb,road,track"
updated,281,California State University-Fresno,"cyclocross,road,track"
updated,282,California State University-Fullerton,"cyclocross,mtb,road,track"
updated,283,California State University-Long Beach,"cyclocross,mtb,road,track"
updated,267,California State University-Sacramento,"cyclocross,mtb,road,track"
updated,284,Claremont University Consortium,"cyclocross,mtb,road,track"
updated,285,Loyola Marymount University,"cyclocross,mtb,road,track"
updated,286,Saint Marys College-California,"cyclocross,mtb,road,track"
updated,268,San Diego State University,"cyclocross,mtb,road,track"
updated,287,San Francisco State University,"cyclocross,mtb,road,track"
updated,269,San Jose State University,"cyclocross,mtb,road,track"
updated,288,Santa Barbara City College,"cyclocross,mtb,road,track"
updated,289,Santa Clara University,"cyclocross,mtb,road,track"
updated,270,Stanford University,"cyclocross,mtb,road,track"
updated,278,University of California-Berkeley,"cyclocross,mtb,road,track"
updated,271,University of California-Davis,"cyclocross,mtb,road,track"
updated,272,University of California-Irvine,"cyclocross,mtb,road,track"
updated,273,University of California-Los Angeles,"cyclocross,mtb,road,track"
updated,290,University of California-Merced,"cyclocross,mtb,road,track"
updated,274,University of California-San Diego,"cyclocross,mtb,road,track"
updated,275,University of California-Santa Barbara,"cyclocross,mtb,road,track"
updated,276,University of California-Santa Cruz,"cyclocross,mtb,road,track"
updated,277,University of Nevada-Reno,"cyclocross,mtb,road,track"
updated,279,University of Southern California,"cyclocross,mtb,road,track"
